scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.04438900947570801,0.03480696678161621,0.12077140808105469
DEU_LocationALower-14_39_T-1,15,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",9,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",6.985664367675781e-05,0.3163599967956543,0,0.31642985343933105
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",16,15,[<Maneuver.BRAKE: 'brake'>],3.933906555175781e-05,0.03702592849731445,0.028482913970947266,0.07606697082519531
DEU_LocationALower-25_155_T-1,15,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",8,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.8358230590820312e-05,0,0,1.8358230590820312e-05
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1457672119140625e-05,0.04500699043273926,0.042710304260253906,0.1112818717956543
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",16,15,[<Maneuver.BRAKE: 'brake'>],0.00020623207092285156,0.03212738037109375,0.026593685150146484,0.06937670707702637
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.2649765014648438e-05,0.03472089767456055,0.0767068862915039,0.1436142921447754
DEU_LocationALower-28_109_T-1,18,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",8,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0503997802734375e-05,0,0,2.0503997802734375e-05
DEU_LocationALower-28_228_T-1,11,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",16,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0503997802734375e-05,0,0,2.0503997802734375e-05
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.8623809814453125e-05,0.03410935401916504,0.046833038330078125,0.12862825393676758
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1457672119140625e-05,0.043582916259765625,0.03537702560424805,0.12046384811401367
DEU_LocationALower-29_134_T-1,9,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",7,6,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.390975952148438e-05,0.06056404113769531,0.11000490188598633,0.17064285278320312
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.0742416381835938e-05,0.07795333862304688,0.03487348556518555,0.15649652481079102
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0742416381835938e-05,0.0448760986328125,0.03905963897705078,0.12692570686340332
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0.03528165817260742,0.07881617546081543,0.1495201587677002
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0.04518866539001465,0.041118621826171875,0.12481212615966797
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0.02364206314086914,0.05971717834472656,0.12307262420654297
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.03575491905212402,0.051476240158081055,0.13544440269470215
DEU_LocationALower-31_239_T-1,16,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.224082946777344e-05,0.08021759986877441,0.16362690925598145,0.24391674995422363
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.9073486328125e-05,0.03415417671203613,0.07047104835510254,0.13919472694396973
DEU_LocationALower-32_186_T-1,12,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",2,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0,0,2.1696090698242188e-05
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.04408407211303711,0.040177106857299805,0.10752153396606445
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0.0290682315826416,0.031192302703857422,0.08202552795410156
DEU_LocationALower-33_228_T-1,14,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",15,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.104873657226562e-05,0.22586631774902344,0,0.2259373664855957
DEU_LocationALower-33_233_T-1,14,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",9,8,[<Maneuver.BRAKE: 'brake'>],7.891654968261719e-05,0.038214921951293945,0.12151432037353516,0.15980815887451172
