scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk,,
Nr of scenarios,79,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,66,0.8354,,,,,,,,
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",2,1,2.98023223876953E-05,0.0161499977111816,0.103497266769409,0.164681434631348,9,1,177.534217307006,,
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",8,7,3.29017639160156E-05,0.0394740104675293,0.0678503513336182,0.133800029754639,7,1,115.835922153953,,
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",6,5,2.95639038085937E-05,0.0235288143157959,0.0545387268066406,0.10219931602478,5,1,116.209680278958,,
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",15,14,2.95639038085937E-05,0.0475976467132568,0.0413084030151367,0.102031469345093,9,1,128.787964686972,,
DEU_LocationALower-33_233_T-1,14,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",9,8,3.40938568115234E-05,0.0383360385894775,0.0603470802307129,0.122431993484497,11,1,109.734613283272,,
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",11,10,3.55243682861328E-05,0.0395064353942871,0.058222770690918,0.118428468704224,15,1,108.940852737133,,
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",3,2,3.74317169189453E-05,0.0305073261260986,0.10633373260498,0.180368900299072,10,1,176.876133614824,,
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",4,3,3.83853912353516E-05,0.0294163227081299,0.104550361633301,0.172459840774536,7,1,103.999629283878,,
DEU_LocationALower-34_147_T-1,16,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",16,15,3.62396240234375E-05,0.0456557273864746,0.0422110557556152,0.0996637344360352,9,1,110.025010789676,,
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",2,1,2.83718109130859E-05,0.0160775184631348,0.145695686340332,0.203240871429443,16,1,156.306945032477,,
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",3,2,4.9591064453125E-05,0.0284757614135742,0.10409688949585,0.173678636550903,8,1,137.604481383058,,
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",8,7,3.29017639160156E-05,0.0392026901245117,0.0724895000457764,0.137973785400391,9,1,111.339931000942,,
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",2,1,3.00407409667969E-05,0.0163941383361816,0.132285118103027,0.192880392074585,15,1,180.01458218295,,
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",1,0,3.36170196533203E-05,0.0165014266967773,0.140711784362793,0.20415186882019,12,1,174.491459154267,,
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",14,13,3.26633453369141E-05,0.0299041271209717,0.0521636009216309,0.0965111255645752,12,1,108.604689620656,,
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",9,8,2.52723693847656E-05,0.037628173828125,0.0710651874542236,0.133897066116333,12,1,114.258986443148,,
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",3,2,3.24249267578125E-05,0.017350435256958,0.0618624687194824,0.0989797115325928,16,1,128.036602160604,,
DEU_LocationALower-36_269_T-1,18,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",4,3,3.19480895996094E-05,0.0284221172332764,0.129352569580078,0.195087671279907,17,1,119.80621382607,,
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",11,10,3.50475311279297E-05,0.0365164279937744,0.0578067302703857,0.114890098571777,9,1,121.788216264747,,
DEU_LocationALower-36_61_T-1,9,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",15,14,3.24249267578125E-05,0.0443916320800781,0.0397036075592041,0.0967888832092285,7,1,129.571652912447,,
DEU_LocationALower-37_1_T-1,11,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",1,0,3.24249267578125E-05,0.0165796279907227,0.149392366409302,0.215548515319824,9,1,175.442183863686,,
