scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,{'~c'},15,14,1.8835067749023438e-05,0.1255965232849121,0.046506643295288086,0.1845095157623291,18,1
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,{'a'},18,17,1.9073486328125e-05,0.03429603576660156,0.04053354263305664,0.08306503295898438,17,1
DEU_LocationALower-31_258_T-1,12,R_G1,initial feasibility
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,{'a'},17,16,2.1696090698242188e-05,0.03375959396362305,0.02935314178466797,0.07244563102722168,7,1
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",7,6,7.390975952148438e-05,0.3221933841705322,0.08032679557800293,0.40259408950805664,11,4
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",12,11,7.224082946777344e-05,0.35816526412963867,0.11439776420593262,0.47263526916503906,10,4
DEU_LocationALower-32_136_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,{'a'},10,9,1.7881393432617188e-05,0.030609846115112305,0.04037666320800781,0.09138345718383789,9,1
DEU_LocationALower-32_70_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",15,14,7.486343383789062e-05,0.15416693687438965,0.11182475090026855,0.2660665512084961,12,4
DEU_LocationALower-32_84_T-1,13,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",8,7,7.176399230957031e-05,0.12658381462097168,0.10309505462646484,0.2297506332397461,7,4
DEU_LocationALower-33_120_T-1,9,R_G1,bingo,"{'a', 'c'}",2,1,3.8623809814453125e-05,0.20689964294433594,0.055533409118652344,0.30292320251464844,8,2
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_142_T-1,10,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",5,4,7.390975952148438e-05,0.25003886222839355,0.13605475425720215,0.3861675262451172,16,4
DEU_LocationALower-33_16_T-1,12,R_G1,bingo,{'a'},12,11,1.8835067749023438e-05,0.028125762939453125,0.05196332931518555,0.09697651863098145,17,1
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_219_T-1,8,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",6,5,7.343292236328125e-05,0.18472647666931152,0.10165214538574219,0.286452054977417,5,4
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,{'a'},15,14,1.7642974853515625e-05,0.03623366355895996,0.03831028938293457,0.0865635871887207,9,1
DEU_LocationALower-33_233_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",9,8,8.296966552734375e-05,0.2783024311065674,0.12486720085144043,0.40325260162353516,11,4
DEU_LocationALower-33_261_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_265_T-1,22,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",13,12,7.462501525878906e-05,0.3108863830566406,0.11734819412231445,0.42830920219421387,15,4
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",2,1,6.842613220214844e-05,0.1303873062133789,0.08967709541320801,0.22013282775878906,11,4
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'a', 'c'}",3,2,3.409385681152344e-05,0.1808032989501953,0.05311465263366699,0.2712709903717041,10,2
DEU_LocationALower-34_120_T-1,17,R_G1,bingo,{'a'},19,18,2.765655517578125e-05,0.03490090370178223,0.03486180305480957,0.0770258903503418,13,1
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,{'a'},12,11,2.0503997802734375e-05,0.028619050979614258,0.03891277313232422,0.0844576358795166,7,1
DEU_LocationALower-34_147_T-1,16,R_G1,bingo,{'a'},16,15,2.1219253540039062e-05,0.0349733829498291,0.03753542900085449,0.08306360244750977,9,1
DEU_LocationALower-34_163_T-1,15,R_G1,bingo,{'~c'},11,5,2.2411346435546875e-05,0.12898015975952148,0.0648036003112793,0.2298417091369629,14,1
DEU_LocationALower-34_179_T-1,15,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",14,13,7.462501525878906e-05,0.11750292778015137,0.1324615478515625,0.25003910064697266,15,4
DEU_LocationALower-34_37_T-1,9,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",2,1,7.128715515136719e-05,0.11929869651794434,0.1515512466430664,0.2709212303161621,16,4
DEU_LocationALower-34_49_T-1,10,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",5,4,8.106231689453125e-05,0.2810490131378174,0.13730788230895996,0.4184379577636719,8,4
DEU_LocationALower-34_96_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",8,7,6.794929504394531e-05,0.1668097972869873,0.13135576248168945,0.2982335090637207,9,4
DEU_LocationALower-35_126_T-1,20,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",3,2,7.009506225585938e-05,0.23663043975830078,0.1891767978668213,0.42587733268737793,15,4
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,{'a'},5,4,2.1457672119140625e-05,0.0226593017578125,0.06313586235046387,0.11896204948425293,12,1
DEU_LocationALower-35_34_T-1,19,R_G1,initial feasibility
DEU_LocationALower-36_113_T-1,14,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",12,11,7.033348083496094e-05,0.26363658905029297,0.12842106819152832,0.39212799072265625,12,4
DEU_LocationALower-36_123_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-36_199_T-1,19,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",2,1,7.2479248046875e-05,0.14714813232421875,0.10255193710327148,0.2497725486755371,11,4
DEU_LocationALower-36_208_T-1,8,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",3,2,6.937980651855469e-05,0.08251690864562988,0.08861279487609863,0.17119908332824707,16,4
DEU_LocationALower-36_236_T-1,6,R_G1,not repairable,"{'d', '~a', 'b', 'c'}",3,2,7.152557373046875e-05,0.06339073181152344,0.058367013931274414,0.12182927131652832,5,4
