scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-31_154_T-1,9,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",4,3,2.5272369384765625e-05,0.02622246742248535,0.0825347900390625,0.1412217617034912
DEU_LocationALower-31_24_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-31_258_T-1,12,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",5,4,0.0001270771026611328,0.07281112670898438,0.14987659454345703,0.22281479835510254
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",3,2,2.384185791015625e-05,0.02651214599609375,0.07232093811035156,0.1337893009185791
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",7,6,7.82012939453125e-05,0.10300707817077637,0.12189865112304688,0.22498393058776855
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",9,8,8.487701416015625e-05,0.10257172584533691,0.11205935478210449,0.21471595764160156
DEU_LocationALower-32_136_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",2,1,2.2172927856445312e-05,0.01458287239074707,0.05502915382385254,0.10835433006286621
DEU_LocationALower-32_70_T-1,14,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.4318695068359375e-05,0.03547215461730957,0.04048800468444824,0.09916067123413086
DEU_LocationALower-33_120_T-1,9,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",2,1,9.012222290039062e-05,0.10235047340393066,0.12323451042175293,0.22567510604858398
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_142_T-1,10,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_16_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",6,5,2.47955322265625e-05,0.021943330764770508,0.03183794021606445,0.07562136650085449
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",15,14,2.4080276489257812e-05,0.04314088821411133,0.029393911361694336,0.10909152030944824
DEU_LocationALower-33_233_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",9,8,2.384185791015625e-05,0.036512136459350586,0.03904390335083008,0.11728739738464355
DEU_LocationALower-33_261_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",11,10,2.2649765014648438e-05,0.035221099853515625,0.03655385971069336,0.09045934677124023
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'g', 'b', 'c', 'h', '~e', 'a', 'f', 'd'}",2,1,7.653236389160156e-05,0.06924057006835938,0.1417555809020996,0.21107268333435059
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",3,2,2.2411346435546875e-05,0.026234865188598633,0.05781865119934082,0.12011384963989258
DEU_LocationALower-34_120_T-1,17,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
