Nr of scenarios,111,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,110,0.991,,,,,,,,
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.74317169189453E-05,0.000103235244750977,0.0915608406066895,0.12584400177002,13,2,139.825475674351,
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'~a', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],4.07695770263672E-05,0.000132083892822266,0.0542087554931641,0.07855224609375,8,2,107.268228717557,
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.64780426025391E-05,0.000108242034912109,0.0780344009399414,0.114354372024536,6,2,138.216474177463,
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'~a', 'b'}",10,0,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,9.56058502197266E-05,0.0717871189117432,0.103572607040405,10,2,122.41016423711,
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.86238098144531E-05,0.000109672546386719,0.092160701751709,0.125256538391113,10,2,131.107051963609,
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.98159027099609E-05,0.000107049942016602,0.078080415725708,0.111804246902466,9,2,148.88449272856,
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'~a', 'b'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000115633010864258,0.0834822654724121,0.120462417602539,7,2,139.601405923179,
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,bingo,"{'~a', 'b'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000121116638183594,0.0748641490936279,0.111700773239136,8,2,140.987281694768,
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],4.07695770263672E-05,0.000113248825073242,0.0856685638427734,0.119600057601929,8,2,148.442715786845,
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,0.000120878219604492,0.0808854103088379,0.116475343704224,8,2,135.561479403994,
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'~a', 'b'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.45706939697266E-05,9.32216644287109E-05,0.0903608798980713,0.126085519790649,9,2,128.318131747937,
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'~a', 'b'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.79085540771484E-05,0.000112771987915039,0.0773890018463135,0.110419511795044,7,2,81.8285576711896,
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'~a', 'b'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.67164611816406E-05,0.00011754035949707,0.0734560489654541,0.110379219055176,7,2,140.68868520375,
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'~a', 'b'}",13,0,[<Maneuver.BRAKE: 'brake'>],4.17232513427734E-05,0.000118255615234375,0.0833897590637207,0.116718053817749,11,2,102.88799706794,
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'~a', 'b'}",12,0,[<Maneuver.BRAKE: 'brake'>],4.05311584472656E-05,0.000104427337646484,0.0808210372924805,0.117119550704956,7,2,132.106819967573,
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'~a', 'b'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.000118255615234375,0.0889773368835449,0.119699716567993,18,2,66.7004523966655,
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,bingo,"{'~a', 'b'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.74317169189453E-05,0.000104427337646484,0.103686571121216,0.137373924255371,13,2,81.5567086026468,
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,bingo,"{'~a', 'b'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.95774841308594E-05,0.0001068115234375,0.101299047470093,0.137228012084961,9,2,146.611627241721,
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,bingo,"{'~a', 'b'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.93390655517578E-05,0.000107526779174805,0.0936005115509033,0.128073692321777,12,2,125.557549854609,
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,bingo,"{'~a', 'b'}",14,0,[<Maneuver.BRAKE: 'brake'>],5.10215759277344E-05,0.000101089477539063,0.0846405029296875,0.1241774559021,8,2,146.195641212218,
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,bingo,"{'~a', 'b'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000104904174804688,0.109094381332397,0.142046213150024,13,2,50.1399731905858,
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,bingo,"{'~a', 'b'}",14,0,[<Maneuver.BRAKE: 'brake'>],4.10079956054688E-05,0.000128746032714844,0.111779451370239,0.147742509841919,9,2,145.566484457458,
