scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,
Nr of scenarios,96,Nr of infeasible trajectories,9,0.0938,Nr of repairable trajectories,64,0.7356,,,,,,
DEU_LocationALower-14_219_T-1,12,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",8,7,7.74860382080078E-05,0.147425174713135,0.144626140594482,0.292128801345825,14,4,
DEU_LocationALower-29_134_T-1,9,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",7,6,6.69956207275391E-05,0.107816219329834,0.114197969436646,0.222081184387207,11,4,
DEU_LocationALower-29_192_T-1,9,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",17,15,7.58171081542969E-05,0.238403558731079,0.0569653511047363,0.29544472694397,6,4,
DEU_LocationALower-29_245_T-1,12,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",19,18,7.12871551513672E-05,0.161781549453735,0.0829222202301025,0.244775056838989,7,4,
DEU_LocationALower-29_65_T-1,8,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",17,16,7.43865966796875E-05,0.198644399642944,0.107884168624878,0.306602954864502,12,4,
DEU_LocationALower-29_70_T-1,11,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",3,-inf,7.15255737304687E-05,0.104212284088135,0,0.104283809661865,12,4,
DEU_LocationALower-30_46_T-1,16,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",6,-inf,7.98702239990234E-05,0.186906337738037,0,0.186986207962036,19,4,
DEU_LocationALower-31_154_T-1,9,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",10,-inf,7.17639923095703E-05,0.294432401657104,0,0.294504165649414,12,4,
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",7,6,7.10487365722656E-05,0.257851600646973,0.118170499801636,0.376093149185181,11,4,
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",12,11,7.03334808349609E-05,0.354857921600342,0.110424757003784,0.465353012084961,10,4,
DEU_LocationALower-32_136_T-1,16,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",11,-inf,7.31945037841797E-05,0.197758674621582,0,0.197831869125366,13,4,
DEU_LocationALower-33_142_T-1,10,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",5,-inf,7.22408294677734E-05,0.233604907989502,0,0.23367714881897,16,4,
DEU_LocationALower-33_16_T-1,12,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",12,-inf,6.93798065185547E-05,0.225158452987671,0,0.225227832794189,17,4,
DEU_LocationALower-33_233_T-1,14,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",9,8,7.43865966796875E-05,0.286035060882568,0.123950719833374,0.410060167312622,11,4,
DEU_LocationALower-33_261_T-1,13,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",10,-inf,7.55786895751953E-05,0.295796394348145,0,0.29587197303772,14,4,
DEU_LocationALower-34_120_T-1,17,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",19,-inf,7.10487365722656E-05,0.344557762145996,0,0.344628810882568,13,4,
DEU_LocationALower-34_147_T-1,16,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",16,15,7.17639923095703E-05,0.156009435653687,0.0898711681365967,0.245952367782593,9,4,
DEU_LocationALower-35_126_T-1,20,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",3,2,7.55786895751953E-05,0.232065200805664,0.165285348892212,0.397426128387451,15,4,
DEU_LocationALower-36_61_T-1,9,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",18,17,7.60555267333984E-05,0.115769147872925,0.0825157165527344,0.198360919952393,7,4,
