scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,"error/failed with Initial longitudinal velocity -0.0033986413540127657 exceeds valid velocity interval [0, 50.8].","{'~j', 'n', '~f', '~o', '~e'}",10,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.507469177246094e-05,0.0001995563507080078,0.06292891502380371,0.06318354606628418,9,2
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'c', '~a', '~b', '~d', '~h', '~i', 'o', '~e', '~k', '~j', '~g', '~m', 'n', '~f'}",12,0,[<Maneuver.BRAKE: 'brake'>],0.00010633468627929688,0.0003466606140136719,0.13688135147094727,0.13733434677124023,8,4
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,"error/failed with Initial longitudinal velocity -0.0017821904650768008 exceeds valid velocity interval [0, 50.8].","{'~j', '~o', '~d', 'n'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.792213439941406e-05,0.00017380714416503906,0.10148382186889648,0.10170555114746094,13,2
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'b', '~a'}",10,0,[<Maneuver.BRAKE: 'brake'>],3.4332275390625e-05,0.00011086463928222656,0.07991480827331543,0.1161653995513916,10,2
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,bingo,"{'b', '~a'}",10,0,[<Maneuver.BRAKE: 'brake'>],4.124641418457031e-05,0.0001087188720703125,0.0842435359954834,0.1141808032989502,12,2
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~j', '~n'}",11,0,[<Maneuver.BRAKE: 'brake'>],2.574920654296875e-05,9.465217590332031e-05,0.057552337646484375,0.08083128929138184,7,1
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375e-05,0.000102996826171875,0.07784676551818848,0.11419486999511719,7,2
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.981590270996094e-05,0.00013875961303710938,0.09139156341552734,0.1323716640472412,13,2
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'b', '~a'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.910064697265625e-05,0.000110626220703125,0.05888700485229492,0.08428573608398438,8,2
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.9577484130859375e-05,0.00010538101196289062,0.07807421684265137,0.11462068557739258,6,2
