scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk
Nr of scenarios,96,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,87,0.9062,,,,,,
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",4,0,3.4332275390625E-05,0.000120401382446289,0.202717781066895,0.250035285949707,18,1,166.375946697446
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",16,0,3.17096710205078E-05,0.000136375427246094,0.170449018478394,0.222625732421875,17,1,188.67146978289
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.4332275390625E-05,0.000126838684082031,0.145457029342651,0.202521800994873,7,1,170.150198549264
DEU_LocationALower-31_47_T-1,13,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",7,0,3.76701354980469E-05,0.000138998031616211,0.105728387832642,0.16827917098999,11,1,163.45727216443
DEU_LocationALower-32_117_T-1,17,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",9,0,3.33786010742187E-05,0.000130176544189453,0.0998086929321289,0.157486438751221,10,1,168.046485674502
DEU_LocationALower-32_136_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",11,0,2.83718109130859E-05,9.87052917480469E-05,0.16299319267273,0.21006965637207,13,1,169.359342026736
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,4.74452972412109E-05,0.000182628631591797,0.124218940734863,0.176731109619141,9,1,170.845672774534
DEU_LocationALower-32_70_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,3.4332275390625E-05,0.00011897087097168,0.187859296798706,0.235485792160034,12,1,171.029136932234
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.93390655517578E-05,0.000180721282958984,0.143527030944824,0.191853523254395,7,1,158.719057541657
DEU_LocationALower-33_142_T-1,10,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",5,0,2.76565551757812E-05,0.000115871429443359,0.0950162410736084,0.126162767410278,16,1,111.930045281669
DEU_LocationALower-33_16_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",12,0,3.814697265625E-05,0.00018000602722168,0.158640146255493,0.207553863525391,17,1,192.668379142182
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",6,0,3.33786010742187E-05,0.000129222869873047,0.077049732208252,0.117371082305908,5,1,115.171390182411
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",15,0,3.09944152832031E-05,0.000121116638183594,0.15557074546814,0.203790903091431,9,1,178.564684297584
DEU_LocationALower-33_233_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,2.78949737548828E-05,0.000138521194458008,0.11863374710083,0.169192790985107,11,1,172.454547135996
DEU_LocationALower-33_261_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",10,0,2.86102294921875E-05,0.000122785568237305,0.18865704536438,0.258736848831177,14,1,183.615917131803
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",11,0,3.21865081787109E-05,0.000119924545288086,0.124432802200317,0.176782846450806,15,1,158.623912048055
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.45706939697266E-05,0.000138521194458008,0.125200510025024,0.172512531280518,10,1,163.907816291151
DEU_LocationALower-34_120_T-1,17,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",15,0,3.40938568115234E-05,0.000129461288452148,0.140915393829346,0.192557334899902,13,1,168.625044539297
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",4,0,3.52859497070312E-05,0.000128030776977539,0.132401704788208,0.18420672416687,7,1,168.799266061712
DEU_LocationALower-34_147_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",16,0,3.17096710205078E-05,0.000125646591186523,0.119149684906006,0.167112588882446,9,1,155.812312881227
DEU_LocationALower-34_163_T-1,15,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",10,0,3.814697265625E-05,0.000143766403198242,0.11307692527771,0.171298742294312,14,1,57.4185272191162
DEU_LocationALower-34_179_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",12,0,3.02791595458984E-05,0.000122785568237305,0.183157205581665,0.247878074645996,15,1,160.667280657789
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,3.55243682861328E-05,0.000131607055664063,0.15988564491272,0.20313835144043,16,1,180.925716768691
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.17096710205078E-05,0.000130891799926758,0.124565362930298,0.172982931137085,8,1,168.416306696798
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.17096710205078E-05,0.000121831893920898,0.101375818252563,0.151928663253784,9,1,163.256001848185
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,3.57627868652344E-05,0.000138521194458008,0.13116455078125,0.180065393447876,15,1,172.594747714013
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,3.57627868652344E-05,0.000131845474243164,0.125522375106812,0.172428131103516,12,1,174.491459154267
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",14,0,3.31401824951172E-05,0.000124216079711914,0.140582799911499,0.201900482177734,12,1,166.996378364452
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,3.29017639160156E-05,0.000119686126708984,0.115236043930054,0.165743827819824,12,1,164.263064253513
DEU_LocationALower-36_123_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",7,0,3.12328338623047E-05,0.000102043151855469,0.158461570739746,0.200409650802612,13,1,77.5000005428353
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,4.00543212890625E-05,0.000187873840332031,0.0790154933929443,0.102982759475708,16,1,129.761429177817
DEU_LocationALower-36_236_T-1,6,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,3.36170196533203E-05,0.000135421752929688,0.0571937561035156,0.0799899101257324,5,1,119.713389622747
DEU_LocationALower-36_269_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",4,0,4.31537628173828E-05,0.000174045562744141,0.17795729637146,0.222233533859253,17,1,189.69123459144
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",11,0,3.48091125488281E-05,0.000176191329956055,0.142835378646851,0.191896677017212,9,1,174.180237859472
DEU_LocationALower-36_61_T-1,9,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",15,0,3.36170196533203E-05,0.000138998031616211,0.102908134460449,0.160962104797363,7,1,178.045433405404
DEU_LocationALower-37_1_T-1,11,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",1,0,3.24249267578125E-05,0.00012516975402832,0.154005527496338,0.588319778442383,9,1,175.442183863686
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",15,0,0.000030517578125,0.000110149383544922,0.0996510982513428,0.151952266693115,10,1,178.490605981406
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",5,0,4.00543212890625E-05,0.000193357467651367,0.130269050598145,0.184748411178589,15,1,161.426635524433
DEU_LocationALower-37_240_T-1,8,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.67164611816406E-05,0.000128030776977539,0.0951271057128906,0.147366762161255,4,1,170.895338911459
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.52859497070312E-05,0.000130414962768555,0.144674777984619,0.18867015838623,14,1,205.008137083592
