scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'~e', 'b', '~a'}",11,3,[<Maneuver.BRAKE: 'brake'>],3.910064697265625e-05,0.036589622497558594,0.04166078567504883,0.09777450561523438,8
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'~e', 'b', '~a'}",7,3,[<Maneuver.BRAKE: 'brake'>],3.886222839355469e-05,0.03386974334716797,0.0450596809387207,0.11652350425720215,7
Nr of scenarios,17,Nr of infeasible trajectories,0,0.0,Nr of repairable trajectories,17,1.0
scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'~a', '~e', 'b'}",5,4,[<Maneuver.BRAKE: 'brake'>],6.67572021484375e-05,0.019673585891723633,0.026740074157714844,0.06801581382751465,6
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,initial feasibility
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,"initialization fails with Polyline malformed for pathlength computation p=[[ 72.6162 -54.1344]
 [ 74.4314 -56.2261]]",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'~a', '~e', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],5.054473876953125e-05,0.03297686576843262,0.03114604949951172,0.08284807205200195,8
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,initial feasibility
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'~a', '~e', 'b'}",10,4,[<Maneuver.BRAKE: 'brake'>],4.172325134277344e-05,0.03493022918701172,0.032834768295288086,0.08685493469238281,11
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'~a', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],2.3126602172851562e-05,0.03070068359375,0.03311753273010254,0.10122060775756836,9
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'~a', '~e', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],3.4332275390625e-05,0.031865596771240234,0.03628277778625488,0.10738921165466309,7
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'~a', '~e', 'b'}",7,4,[<Maneuver.BRAKE: 'brake'>],3.337860107421875e-05,0.034380197525024414,0.03541421890258789,0.10718846321105957,8
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~e', '~n', '~f', '~j'}",12,4,[<Maneuver.BRAKE: 'brake'>],2.4318695068359375e-05,0.0998232364654541,0.03360438346862793,0.15128707885742188,10
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~j', '~d', '~o', '~k', 'n'}",11,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.647804260253906e-05,0.22791099548339844,0.05425906181335449,0.3025221824645996,21
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'~a', 'b'}",8,5,[<Maneuver.BRAKE: 'brake'>],2.2649765014648438e-05,0.03281140327453613,0.03189420700073242,0.10134220123291016,11
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'~a', '~e', 'b'}",8,5,[<Maneuver.BRAKE: 'brake'>],3.3855438232421875e-05,0.036464691162109375,0.02682948112487793,0.08018898963928223,9
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'~a', '~e', 'b'}",9,5,[<Maneuver.BRAKE: 'brake'>],3.457069396972656e-05,0.0410313606262207,0.03758049011230469,0.09865927696228027,7
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'~a', '~e', 'b'}",9,5,[<Maneuver.BRAKE: 'brake'>],3.266334533691406e-05,0.04026007652282715,0.030625104904174805,0.08935928344726562,10
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,bingo,"{'~e', '~n', '~f', '~j'}",10,5,[<Maneuver.BRAKE: 'brake'>],2.4080276489257812e-05,0.08922457695007324,0.0358123779296875,0.14240312576293945,9
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,bingo,"{'~e', '~n', '~f', '~j'}",12,5,[<Maneuver.BRAKE: 'brake'>],2.5033950805664062e-05,0.08934760093688965,0.03644704818725586,0.14345526695251465,8
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,initialization fails with x and/or y coordinate outside of projection domain,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'~a', 'b'}",10,6,[<Maneuver.BRAKE: 'brake'>],2.4080276489257812e-05,0.03949618339538574,0.029554367065429688,0.10860848426818848,10
Nr of scenarios,17,Nr of infeasible trajectories,2,0.1176,Nr of repairable trajectories,15,1.0
scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~e', '~f', '~j', '~n'}",11,6,[<Maneuver.BRAKE: 'brake'>],2.8371810913085938e-05,0.0977487564086914,0.035559654235839844,0.15095162391662598,7
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.03045797348022461,0.02874898910522461,0.0955810546875,7
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],2.2172927856445312e-05,0.02888631820678711,0.02999401092529297,0.07517099380493164,13
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'~a', 'b'}",8,7,[<Maneuver.BRAKE: 'brake'>],2.574920654296875e-05,0.02797222137451172,0.024108409881591797,0.06641006469726562,8
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.2901763916015625e-05,0.030974864959716797,0.026005268096923828,0.0731356143951416,6
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'~a', '~e', 'b'}",10,7,[<Maneuver.BRAKE: 'brake'>],3.743171691894531e-05,0.0305025577545166,0.0286409854888916,0.09184670448303223,10
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.2901763916015625e-05,0.03179049491882324,0.028049945831298828,0.07546615600585938,10
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.361701965332031e-05,0.029500961303710938,0.029938697814941406,0.07634544372558594,9
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'~a', '~e', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.030337810516357422,0.026196002960205078,0.09654760360717773,7
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,"initialization fails with Polyline malformed for pathlength computation p=[[37.9979 -9.4145]
 [36.2508 -7.5664]]",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,"initialization fails with Polyline malformed for pathlength computation p=[[24.576  -2.8266]
 [26.2078 -4.7035]]",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'~a', '~e', 'b'}",11,8,[<Maneuver.BRAKE: 'brake'>],6.031990051269531e-05,0.03943014144897461,0.025554895401000977,0.0792386531829834,8
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'~a', '~e', 'b'}",13,8,[<Maneuver.BRAKE: 'brake'>],3.4809112548828125e-05,0.03734469413757324,0.029599666595458984,0.10258913040161133,9
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'~a', '~e', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.409385681152344e-05,0.031993865966796875,0.02635955810546875,0.07251977920532227,7
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'~a', '~e', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.886222839355469e-05,0.029534578323364258,0.02960205078125,0.07533836364746094,7
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'~a', '~e', 'b'}",13,8,[<Maneuver.BRAKE: 'brake'>],3.2901763916015625e-05,0.040929555892944336,0.029567718505859375,0.10780072212219238,11
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~h', '~e', '~n', '~b', '~i', '~a', '~g', '~c', '~d', '~j'}",9,8,[<Maneuver.BRAKE: 'brake'>],3.075599670410156e-05,0.07717657089233398,0.025594234466552734,0.11918187141418457,27
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'~a', '~e', 'b'}",12,9,[<Maneuver.BRAKE: 'brake'>],3.528594970703125e-05,0.03823423385620117,0.025013446807861328,0.07641267776489258,7
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'~a', '~e', 'b'}",14,9,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.03983664512634277,0.03207254409790039,0.10999560356140137,18
Nr of scenarios,17,Nr of infeasible trajectories,0,0.0,Nr of repairable trajectories,17,1.0
