scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'~a', 'b', '~e'}",4,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.00543212890625e-05,0.059009552001953125,0.04843759536743164,0.1326456069946289
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~d', '~n', '~g', '~e', '~h', '~i', '~j', '~k'}",7,0,"[<Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.47955322265625e-05,0.13531732559204102,0.05422616004943848,0.21511554718017578
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1219253540039062e-05,0.18399739265441895,0.038716793060302734,0.24340415000915527
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",2,-inf,[],5.221366882324219e-05,0.018213748931884766,0,0.018265962600708008
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'~a', 'b', '~e'}",4,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.504753112792969e-05,0.02947092056274414,0.03424549102783203,0.0866236686706543
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",3,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],4.9114227294921875e-05,0.018269777297973633,0,0.018318891525268555
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",3,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],5.269050598144531e-05,0.018198251724243164,0,0.01825094223022461
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.409385681152344e-05,0.05057978630065918,0.027474641799926758,0.11776351928710938
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.528594970703125e-05,0.0489039421081543,0.040441274642944336,0.13299822807312012
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.361701965332031e-05,0.05237722396850586,0.03716111183166504,0.11384248733520508
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.933906555175781e-05,0.050029754638671875,0.03965258598327637,0.11377692222595215
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,bingo,"{'~a', 'b'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.6702880859375e-05,0.05088019371032715,0.04347586631774902,0.11693048477172852
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",4,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],4.8160552978515625e-05,0.029537439346313477,0,0.029585599899291992
