Nr of scenarios,124,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,123,0.9919,,,,,,,,
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'~a', 'b'}",9,5,[<Maneuver.BRAKE: 'brake'>],3.76701354980469E-05,0.0433521270751953,0.0503349304199219,0.114009857177734,10,2,141.879937590742,
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'~a', 'b'}",10,6,[<Maneuver.BRAKE: 'brake'>],4.62532043457031E-05,0.0430586338043213,0.0482456684112549,0.110679864883423,10,2,150.353709043915,
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,bingo,"{'~a', 'b'}",10,8,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0307626724243164,0.0436267852783203,0.0916900634765625,12,2,92.014477760707,
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],5.31673431396484E-05,0.0330719947814941,0.0448563098907471,0.0958104133605957,7,2,154.3779784431,
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.50475311279297E-05,0.0322134494781494,0.0475244522094727,0.0973529815673828,13,2,134.379595210687,
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'~a', 'b'}",8,7,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.033372163772583,0.0374276638031006,0.08608078956604,8,2,23.0232971909302,
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.57627868652344E-05,0.0349531173706055,0.0437607765197754,0.096759557723999,6,2,151.77811699644,
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'~a', 'b'}",10,7,[<Maneuver.BRAKE: 'brake'>],4.10079956054688E-05,0.032642126083374,0.0456414222717285,0.0955703258514404,10,2,101.16911787706,
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.38554382324219E-05,0.0322005748748779,0.0429706573486328,0.0921506881713867,10,2,104.468907451299,
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],4.76837158203125E-05,0.0306980609893799,0.0465371608734131,0.0951602458953857,9,2,132.918478610155,
