scenario_id,scenario_path,ego_id,rule,repeat,num_steps,mode,lin2025_replanable,planner_returned,monitor_compliant,success,setup_time,planning_time,core_total_time,validation_time,fixed_other_id,updated_tv,error,rule_candidates_checked,rule_candidate_limit,in1_strategy
DEU_AAH1-2_7900_T-1049_in5_variant_05,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_05.xml,10020,R_IN5,0,149,rule_filtered,True,True,True,True,5.123979306998081,0.3829211740012397,0.3829211740012397,0.6283046160024242,10019,inf,,3,0,paper_batch
DEU_AAH1-2_7900_T-1049_in5_variant_06,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_06.xml,10020,R_IN5,0,149,rule_filtered,True,True,True,True,5.1329218200007745,0.33717824799896334,0.33717824799896334,0.8103486219988554,10019,inf,,1,0,paper_batch
DEU_AAH1-2_7900_T-1049_in5_variant_07,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_07.xml,10020,R_IN5,0,149,rule_filtered,True,True,True,True,5.421991196999443,0.39638949900108855,0.39638949900108855,0.6930793819992687,10019,inf,,1,0,paper_batch
DEU_AAH1-2_7900_T-1049_in5_variant_09,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_09.xml,10020,R_IN5,0,149,rule_filtered,True,True,True,True,5.772502448002342,0.38973931199871004,0.38973931199871004,0.683990180001274,10019,inf,,1,0,paper_batch
DEU_AachenBendplatz-1_12961_T-980,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_12961_T-980.xml,10047,R_IN5,0,19,rule_filtered,True,True,True,True,5.46109919599985,0.287237313001242,0.287237313001242,0.5905573000018194,10048,inf,,5,0,paper_batch
DEU_AachenBendplatz-1_12962_T-981,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_12962_T-981.xml,10047,R_IN5,0,19,rule_filtered,True,True,True,True,5.425619491001271,0.9045569109985081,0.9045569109985081,0.620143490999908,10048,inf,,45,0,paper_batch
DEU_AachenBendplatz-1_12963_T-982,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_12963_T-982.xml,10047,R_IN5,0,19,rule_filtered,True,True,True,True,5.157430379000289,0.5959759209981712,0.5959759209981712,0.5724972530006198,10048,inf,,12,0,paper_batch
DEU_AachenBendplatz-1_12964_T-983,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_12964_T-983.xml,10047,R_IN5,0,19,rule_filtered,True,True,True,True,5.07257006600048,0.5938662459993793,0.5938662459993793,0.579247949001001,10048,inf,,12,0,paper_batch
DEU_AachenBendplatz-1_13558_T-577,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13558_T-577.xml,10037,R_IN5,0,19,rule_filtered,False,False,False,False,5.16378408500168,0.8831602739992377,0.8831602739992377,,10046,,,0,0,paper_batch
DEU_AachenBendplatz-1_13559_T-578,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13559_T-578.xml,10037,R_IN5,0,19,rule_filtered,False,False,False,False,5.449928291996912,0.9684972760005621,0.9684972760005621,,10046,,,0,0,paper_batch
DEU_AachenBendplatz-1_13561_T-580,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13561_T-580.xml,10037,R_IN5,0,19,rule_filtered,False,False,False,False,5.5259660510018875,0.9533020660019247,0.9533020660019247,,10046,,,0,0,paper_batch
DEU_AachenBendplatz-1_13562_T-581,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13562_T-581.xml,10037,R_IN5,0,19,rule_filtered,False,False,False,False,5.727153684001678,0.9980462509993231,0.9980462509993231,,10046,,,0,0,paper_batch
DEU_AachenBendplatz-1_13563_T-582,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13563_T-582.xml,10037,R_IN5,0,19,rule_filtered,False,False,False,False,5.551004552999075,1.0140024879983685,1.0140024879983685,,10046,,,0,0,paper_batch
DEU_AachenBendplatz-1_13564_T-583,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13564_T-583.xml,10037,R_IN5,0,19,rule_filtered,True,True,True,True,5.562960066999949,0.2888718260001042,0.2888718260001042,0.6435645329984254,10046,inf,,1,0,paper_batch
DEU_AachenBendplatz-1_13565_T-584,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_13565_T-584.xml,10037,R_IN5,0,19,rule_filtered,True,True,True,True,5.8710132599990175,0.32150639700194006,0.32150639700194006,0.6859760150000511,10046,inf,,1,0,paper_batch
DEU_AachenBendplatz-1_141555_T-1574,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_141555_T-1574.xml,10095,R_IN5,0,19,rule_filtered,False,False,False,False,5.996057298998494,1.502668713001185,1.502668713001185,,10099,,,0,0,paper_batch
DEU_AachenBendplatz-1_141556_T-1575,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_141556_T-1575.xml,10095,R_IN5,0,19,rule_filtered,False,False,False,False,5.965582415003155,1.181515472002502,1.181515472002502,,10099,,,0,0,paper_batch
DEU_AachenBendplatz-1_141557_T-1576,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_141557_T-1576.xml,10095,R_IN5,0,19,rule_filtered,False,False,False,False,5.7625429239997175,1.086288271999365,1.086288271999365,,10099,,,0,0,paper_batch
DEU_AachenBendplatz-1_141558_T-1577,scenarios/experiment_scenarios/generated_sampling/in5/DEU_AachenBendplatz-1_141558_T-1577.xml,10095,R_IN5,0,19,rule_filtered,False,False,False,False,5.751684249997197,1.0348030730019673,1.0348030730019673,,10099,,,0,0,paper_batch
