DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,yes,0.28546929359436,
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,yes,0.288328886032104,
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,yes,0.296700239181519,
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,yes,0.306941270828247,
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,yes,0.311635494232178,
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,yes,0.315860271453857,
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,yes,0.331265211105347,
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,yes,0.332328796386719,
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,yes,0.336037397384644,
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,yes,0.337637901306152,
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,yes,0.353046894073486,
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,yes,0.36301851272583,
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,yes,0.375632524490356,
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,yes,0.451460123062134,
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,yes,0.480538368225098,
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,yes,0.511956214904785,
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,yes,0.540327548980713,
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,yes,0.593192338943481,
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,yes,0.629797697067261,
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,yes,0.67463755607605,
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,yes,1.23242235183716,
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,yes,1.25723576545715,
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,yes,2.24840617179871,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,no,0.563588857650757,
DEU_AachenBendplatz-1_162440_T-2459,10193,R_IN4,no,0.570671319961548,
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,no,0.629339456558228,
DEU_AachenBendplatz-1_133560_T-3579,10256,R_IN4,no,0.639926195144653,
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,no,0.741663217544556,
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,no,0.76363468170166,
DEU_AachenFrankenburg-1_2120_T-39,10023,R_IN4,no,0.767789840698242,
DEU_AachenBendplatz-1_121200_T-1219,10067,R_IN4,no,0.798141956329346,
DEU_AachenFrankenburg-1_27420_T-439,10067,R_IN4,no,0.810429811477661,
DEU_AachenBendplatz-1_81800_T-1819,10134,R_IN4,no,0.840461492538452,
DEU_AachenBendplatz-1_8340_T-359,10030,R_IN4,no,0.844417095184326,
DEU_AachenFrankenburg-1_232260_T-2279,10208,R_IN4,no,0.853699445724487,0.324324324324324
DEU_AachenBendplatz-1_153060_T-3079,10203,R_IN4,no,0.8960862159729,
DEU_AachenFrankenburg-1_264440_T-4459,10391,R_IN4,no,0.952524185180664,
DEU_AachenBendplatz-1_93240_T-3259,10191,R_IN4,no,1.53019714355469,
DEU_AachenBendplatz-1_8740_T-759,10051,R_IN4,no,2.2249584197998,
DEU_AachenBendplatz-1_141560_T-1579,10098,R_IN4,no,2.48901796340942,
DEU_AachenBendplatz-1_13720_T-739,10057,R_IN4,no,8.01463580131531,
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,no,10.9794485569,
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,no,11.1506676673889,
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,no,14.8719921112061,
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,no,16.7707521915436,
DEU_AachenBendplatz-1_84260_T-4279,10324,R_IN4,no,20.7891938686371,
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,no,30.1391656398773,
DEU_AachenBendplatz-1_93620_T-3639,10217,R_IN4,no,53.8590979576111,
DEU_AachenBendplatz-1_1740_T-59,10003,R_IN4,too long,2.69153261184692,
DEU_AachenBendplatz-1_152620_T-2639,10164,R_IN4,too long,10.1646995544434,
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,too long,11.1119904518127,
DEU_AachenBendplatz-1_83000_T-3019,10226,R_IN4,too long,13.8607499599457,
DEU_AachenBendplatz-1_15160_T-179,10016,R_IN4,too long,23.7988178730011,
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,too long,44.7522587776184,
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,too long,51.3689045906067,
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,yes,0.191715955734253,
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,yes,0.345046997070312,
DEU_AachenBendplatz-1_121860_T-1879,10102,R_IN4,yes,0.826007604598999,
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,yes,1.58020782470703,
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,yes,1.63859486579895,
scenario_id,ego_id,rule,replanability,total_time,
scenario_id,ego_id,rule,replanability,total_time,
