scenario_id,ego_id,rule,replanability,total_time
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,no,0.46084070205688477
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,yes,0.4195394515991211
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,yes,0.5145502090454102
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,yes,0.5127048492431641
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,yes,0.45928192138671875
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,yes,0.5171802043914795
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,yes,0.5121386051177979
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,yes,0.4361453056335449
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,yes,0.47090697288513184
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,yes,0.435528039932251
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,yes,0.45104479789733887
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,yes,0.4579463005065918
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,yes,0.4402015209197998
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,yes,0.4981818199157715
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,yes,0.4537677764892578
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,yes,0.48600316047668457
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,no,0.5140728950500488
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,yes,0.4827239513397217
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,yes,0.5188441276550293
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,yes,0.569063663482666
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,yes,0.47174644470214844
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,yes,0.5009334087371826
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,yes,0.44434142112731934
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,yes,0.4506242275238037
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,yes,0.5685765743255615
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,yes,0.4281907081604004
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,initialization fails with 0,N/A
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,initialization fails with 0,N/A
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,yes,0.42942166328430176
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,yes,0.42664122581481934
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,initialization fails with 0,N/A
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,yes,0.4690735340118408
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,initialization fails with 0,N/A
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,yes,0.5029721260070801
DEU_AachenBendplatz-1_73200_T-3219,10123,R_IN1,no,0.4668307304382324
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,yes,0.4739847183227539
