scenario_id,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,smt,1,dpll,True,3,5,1,1.4000000000000001,0,0.0,4.363059997558594e-05,0.0,0.0,0.0,0.0,0.0,1.1644222736358643,2.654675006866455,
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,vp,2,domain_dpll,True,1,5,0,inf,3,4.601478576660156e-05,2.765655517578125e-05,0.0001919269561767578,0.0003294944763183594,0.0029718875885009766,0.0004525184631347656,0.0,0.004019498825073242,0.9526424407958984,
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,smt,1,dpll,True,2,5,2,1.0,0,0.0,3.0040740966796875e-05,0.0,0.0,0.0,0.0,0.0,0.6136491298675537,2.085707902908325,
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,vp,2,domain_dpll,True,1,6,0,inf,3,4.6253204345703125e-05,2.6702880859375e-05,0.00019311904907226562,0.0003132820129394531,0.002178668975830078,0.00027298927307128906,0.0,0.003031015396118164,0.9263460636138916,
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0188908576965332,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,vp,2,domain_dpll,True,1,4,0,0.8,3,4.5299530029296875e-05,2.7179718017578125e-05,0.0001723766326904297,0.00040793418884277344,0.0019040107727050781,0.00022554397583007812,0.0,0.0027823448181152344,0.9294757843017578,
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,smt,2,dpll,True,3,4,2,0.8,0,0.0,6.985664367675781e-05,0.0,0.0,0.0,0.0,0.0,0.19458985328674316,1.221545934677124,
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,vp,2,domain_dpll,True,1,7,0,inf,3,3.886222839355469e-05,2.7894973754882812e-05,0.00018167495727539062,0.000308990478515625,0.002347230911254883,0.0004508495330810547,0.0,0.0033555030822753906,1.2503867149353027,
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,smt,1,dpll,True,2,7,3,inf,0,0.0,5.173683166503906e-05,0.0,0.0,0.0,0.0,0.0,1.2106521129608154,3.1219186782836914,
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,vp,2,domain_dpll,False,3,6,0,,2,3.600120544433594e-05,6.532669067382812e-05,0.0,0.0,0.0,0.0,0.0,0.00010132789611816406,0.9920525550842285,repair returned None
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,smt,2,dpll,False,5,6,5,,0,0.0,0.00011134147644042969,0.0,0.0,0.0,0.0,0.0,0.046430110931396484,1.2779507637023926,repair returned None
