cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error,rule_semantics,fixed_other_id,vp_tv,result_provenance,validation_scope,dataset_cohort,result_source_csv
all_cases,True,True,True,1.4248365919993375,369,DEU_LocationALower-14_255_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_255_T-1.xml,11,R_G1,0,standard,21,True,True,True,0.01091001100030553,0.8649748219995672,0.019540954001058708,0.8954257870009315,0.1358022600015829,0.018780946731567383,1508,369,2235,2,0.0,0.009999999995898179,inf,,,,,,,11,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.6011177210002643,378,DEU_LocationALower-14_39_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_39_T-1.xml,15,R_G1,0,standard,21,True,True,True,0.01197269300064363,0.8990371790005156,0.038807849001386785,0.949817721002546,0.1296963090007921,0.03797602653503418,1535,378,2271,2,1.1200602889084812e-15,0.009999999995898179,inf,,,,,,,14,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.500378760001695,378,DEU_LocationALower-25_155_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-25_155_T-1.xml,15,R_G1,0,standard,21,True,True,True,0.009438393999516848,0.8651635610003723,0.014072496000153478,0.8886744510000426,0.12604553600067447,0.013247013092041016,1535,378,2271,2,0.0,0.009999999994988684,inf,,,,,,,11,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.7214295939975273,378,DEU_LocationALower-27_140_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-27_140_T-1.xml,14,R_G1,0,standard,21,True,True,True,0.009693523001260473,0.875968226000623,0.014597970999602694,0.9002597200014861,0.13505516400073247,0.013787031173706055,1535,378,2271,2,2.549241547214019e-15,0.009999999998854037,inf,,,,,,,8,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.2900939140017726,378,DEU_LocationALower-28_109_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_109_T-1.xml,13,R_G1,0,standard,21,True,True,True,0.009957453999959398,0.9030148809997627,0.01407036399905337,0.9270426989987754,0.1350815940004395,0.01320505142211914,1535,378,2271,2,0.0,0.00999999999942247,inf,,,,,,,11,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.3932556670006306,378,DEU_LocationALower-28_109_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_109_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.008068894001553417,0.8516099079988635,0.017272777999096434,0.8769515799995133,0.13799649700013106,0.016479969024658203,1535,378,2271,2,7.152334758683012e-15,0.009999999995898179,inf,,,,,,,9,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.3604224659993633,378,DEU_LocationALower-28_228_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_228_T-1.xml,11,R_G1,0,standard,21,True,True,True,0.006475403000877122,0.8735975169984158,0.03588199799924041,0.9159549179985333,0.10918427199976577,0.035112857818603516,1535,378,2271,2,2.136377446357219e-15,0.009999999998967724,inf,,,,,,,17,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.35476086199742,378,DEU_LocationALower-28_252_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_252_T-1.xml,12,R_G1,0,standard,21,True,True,True,0.008755463000852615,0.8738003119997302,0.014707703001477057,0.8972634780020599,0.13315805599995656,0.01386117935180664,1535,378,2271,2,0.0,0.00999999999908141,inf,,,,,,,12,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,3.104835825999544,357,DEU_LocationALower-28_252_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_252_T-1.xml,18,R_G1,0,standard,21,True,True,True,0.009271805998650962,0.792968709998604,0.01469802800056641,0.8169385439978214,0.13013380699885602,0.013940095901489258,1472,357,2187,2,0.0,0.009999999996807674,inf,,,,,,,16,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.1773264959992957,357,DEU_LocationALower-29_123_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_123_T-1.xml,16,R_G1,0,standard,21,True,True,True,0.004553840000880882,0.8021477300007973,0.011646971999653033,0.8183485420013312,0.12300140400111559,0.010879039764404297,1472,357,2187,2,0.0,0.009999999997717168,inf,,,,,,,9,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.0539734100002534,267,DEU_LocationALower-29_134_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_134_T-1.xml,9,R_G1,0,standard,15,True,True,True,0.010418116999062477,0.47716013100034615,0.01146367199908127,0.4990419199984899,0.14400178200048686,0.010690927505493164,878,197,1356,2,1.7901498664824275e-15,0.009999999999308784,inf,,,,,,,7,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.3855245459981234,378,DEU_LocationALower-29_192_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_192_T-1.xml,9,R_G1,0,standard,21,True,True,True,0.006866686999273952,0.8904919649994554,0.019499694999467465,0.9168583469981968,0.1154397299997072,0.018409013748168945,1535,378,2271,2,1.717919639091195e-15,0.00999999999942247,inf,,,,,,,17,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.4508228310005507,378,DEU_LocationALower-29_245_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_245_T-1.xml,12,R_G1,0,standard,21,True,True,True,0.007339591998970718,0.8740704690007988,0.029842580001059105,0.9112526410008286,0.3960803299996769,0.02894878387451172,1535,378,2271,2,1.7678471106853464e-15,0.009999999999308784,inf,,,,,,,19,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.31475834199955,357,DEU_LocationALower-29_249_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_249_T-1.xml,23,R_G1,0,standard,21,True,True,True,0.008414107000135118,0.809891738999795,0.013069434000499314,0.8313752800004295,0.1635283209998306,0.012120962142944336,1472,357,2187,2,0.0,0.009999999995898179,inf,,,,,,,15,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
