rule_group,scenario_id,ego_id,sat_solver_mode,monitor_ok,repair_ok,repaired,tv,tv_class,rule_to_tv,rule_to_tv_classes,iterations,error_type,error,captured_failure_lines,potential_masked_bug,wall_time
R_G1,DEU_LocationALower-28_252_T-1,18,domain_dpll,True,True,True,16,finite_positive,{'R_G1': 16},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9405453205108643
R_G1,DEU_LocationALower-29_123_T-1,16,dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,,False,0.8560960292816162
R_G1,DEU_LocationALower-29_123_T-1,16,domain_dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0580625534057617
R_G1,DEU_LocationALower-29_134_T-1,9,dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},1,,,,False,0.9062094688415527
R_G1,DEU_LocationALower-29_134_T-1,9,domain_dpll,True,True,True,7,finite_positive,{'R_G1': 7},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9255673885345459
R_G1,DEU_LocationALower-29_192_T-1,9,dpll,True,True,False,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},4,,repair returned None,* 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | *******   Repairing Failed ಠ_ಠ with 5 iteration(s)  *******,True,0.8318312168121338
R_G1,DEU_LocationALower-29_192_T-1,9,domain_dpll,True,True,False,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},4,,repair returned None,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | * 	<VPRepairer>: VP repair failed for current SAT model: LP failed: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None) | *******   Repairing Failed ಠ_ಠ with 5 iteration(s)  *******",True,0.8464076519012451
R_G1,DEU_LocationALower-29_245_T-1,12,dpll,True,True,True,19,finite_positive,{'R_G1': 19},{'R_G1': 'finite_positive'},1,,,,False,0.94142746925354
R_G1,DEU_LocationALower-29_245_T-1,12,domain_dpll,True,True,True,19,finite_positive,{'R_G1': 19},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.95652174949646
R_G1,DEU_LocationALower-29_249_T-1,23,dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,,False,1.003648042678833
R_G1,DEU_LocationALower-29_249_T-1,23,domain_dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9945540428161621
R_G1,DEU_LocationALower-29_250_T-1,12,dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,,False,0.9832868576049805
R_G1,DEU_LocationALower-29_250_T-1,12,domain_dpll,True,True,True,9,finite_positive,{'R_G1': 9},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0197839736938477
R_G1,DEU_LocationALower-29_65_T-1,8,dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,,False,1.1773545742034912
R_G1,DEU_LocationALower-29_65_T-1,8,domain_dpll,True,True,True,17,finite_positive,{'R_G1': 17},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9655778408050537
R_G1,DEU_LocationALower-29_70_T-1,11,dpll,True,True,True,3,finite_positive,{'R_G1': 3},{'R_G1': 'finite_positive'},1,,,,False,0.998483419418335
R_G1,DEU_LocationALower-29_70_T-1,11,domain_dpll,True,True,True,3,finite_positive,{'R_G1': 3},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.019017219543457
