scenario_id,ego_id,rule,replanability,total_time,num_obstacles
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,yes,0.148046493530273,13
DEU_AachenBendplatz-1_1720_T-39,10013,R_IN1,yes,0.148179054260254,13
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,yes,0.149741172790527,14
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,yes,0.152744054794312,12
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,yes,0.154625415802002,18
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,yes,0.160316944122314,17
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,yes,0.164401531219482,9
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,yes,0.164509534835815,11
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,yes,0.167449235916138,7
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,yes,0.170046329498291,12
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,yes,0.170253038406372,12
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,yes,0.174856662750244,16
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,yes,0.187371969223022,14
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,yes,0.193490505218506,8
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,yes,0.194612741470337,17
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,yes,0.195111751556396,12
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,yes,0.198283910751343,17
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,yes,0.199370861053467,11
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,yes,0.200551271438599,9
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,yes,0.215503454208374,12
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,yes,0.219748735427856,11
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,yes,0.227446794509888,16
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,yes,0.231579542160034,13
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,yes,0.232369422912598,10
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,yes,0.240263223648071,12
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,yes,0.247688770294189,12
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,yes,0.25792407989502,9
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,yes,0.267980098724365,17
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,yes,0.270045757293701,10
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,yes,0.28546929359436,15
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,yes,0.288328886032104,12
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,yes,0.296700239181519,11
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,yes,0.306941270828247,14
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,yes,0.311635494232178,13
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,yes,0.315860271453857,9
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,yes,0.331265211105347,14
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,yes,0.332328796386719,14
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,yes,0.336037397384644,24
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,yes,0.337637901306152,7
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,yes,0.353046894073486,16
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,yes,0.36301851272583,10
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,yes,0.375632524490356,13
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,yes,0.451460123062134,14
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,yes,0.480538368225098,10
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,yes,0.511956214904785,7
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,yes,0.540327548980713,15
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,yes,0.593192338943481,12
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,yes,0.629797697067261,16
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,yes,0.67463755607605,9
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,yes,1.23242235183716,19
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,yes,1.25723576545715,14
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,yes,2.24840617179871,11
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,yes,0.191715955734253,10
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,yes,0.345046997070312,16
DEU_AachenBendplatz-1_121860_T-1879,10102,R_IN4,yes,0.826007604598999,11
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,yes,1.58020782470703,31
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,yes,1.63859486579895,13
