scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,num_obstacles
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.36034393310547E-05,0.0147576332092285,0.0597083568572998,0.133612632751465,12,8.31
DEU_LocationALower-34_179_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",12,11,,2.52723693847656E-05,0.0349195003509521,0.0355184078216553,0.106888294219971,15,8.41
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.40802764892578E-05,0.014887809753418,0.0896008014678955,0.141004800796509,16,8.51
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,,2.26497650146484E-05,0.0147898197174072,0.10260009765625,0.176528453826904,14,9.03
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,,2.24113464355469E-05,0.0259933471679687,0.0565476417541504,0.112128019332886,12,9.12
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",8,7,,2.00271606445312E-05,0.0653460025787354,0.0342202186584473,0.141557455062866,6,9.37
DEU_LocationALower-11_102_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,3.12328338623047E-05,0.0303401947021484,0.039750337600708,0.093508243560791,12,9.39
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.40802764892578E-05,0.0144476890563965,0.0534648895263672,0.12549352645874,9,9.88
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",13,12,,2.19345092773437E-05,0.0345134735107422,0.0332162380218506,0.0831272602081299,16,10.02
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,,2.50339508056641E-05,0.0427522659301758,0.0315611362457275,0.0866200923919678,9,10.07
DEU_LocationALower-12_109_T-1,20,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,,2.21729278564453E-05,0.0370135307312012,0.0465114116668701,0.12612795829773,20,10.08
DEU_LocationALower-32_70_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",2,1,,2.02655792236328E-05,0.0137641429901123,0.102049827575684,0.17571234703064,12,10.16
DEU_LocationALower-13_82_T-1,17,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",13,12,,2.288818359375E-05,0.024500846862793,0.0369374752044678,0.0936028957366943,18,10.81
DEU_LocationALower-36_269_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,,2.52723693847656E-05,0.0273063182830811,0.0736207962036133,0.134285926818848,17,11.4
DEU_LocationALower-37_1_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,,2.52723693847656E-05,0.0150096416473389,0.0915181636810303,0.149528503417969,9,11.8
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,,2.26497650146484E-05,0.0325138568878174,0.0265073776245117,0.0699462890625,9,12.86
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.59876251220703E-05,0.0199398994445801,0.0670115947723389,0.138574600219727,14,13.81
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.288818359375E-05,0.0273511409759521,0.0789022445678711,0.158284425735474,17,14.48
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,,2.45571136474609E-05,0.0258612632751465,0.0618021488189697,0.139898538589478,7,16.11
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",6,5,,2.288818359375E-05,0.0610160827636719,0.0414960384368897,0.130809307098389,11,19.91
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,,1.95503234863281E-05,0.0361146926879883,0.0453341007232666,0.105225563049316,16,21.72
