scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,ttc
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'~a', '~e', 'b'}",9,5,[<Maneuver.BRAKE: 'brake'>],3.45706939697266E-05,0.0410313606262207,0.0375804901123047,0.0986592769622803,7,0.28
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'~a', '~e', 'b'}",9,5,[<Maneuver.BRAKE: 'brake'>],3.26633453369141E-05,0.0402600765228272,0.0306251049041748,0.0893592834472656,10,1.91
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'~a', 'b'}",10,6,[<Maneuver.BRAKE: 'brake'>],2.40802764892578E-05,0.0394961833953857,0.0295543670654297,0.108608484268188,10,0.19
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.69548797607422E-05,0.0304579734802246,0.0287489891052246,0.0955810546875,7,0.06
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'~a', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],2.21729278564453E-05,0.0288863182067871,0.029994010925293,0.0751709938049316,13,0.1
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'~a', 'b'}",8,7,[<Maneuver.BRAKE: 'brake'>],2.57492065429687E-05,0.0279722213745117,0.0241084098815918,0.0664100646972656,8,0.31
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.29017639160156E-05,0.0309748649597168,0.0260052680969238,0.0731356143951416,6,0.02
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'~a', '~e', 'b'}",10,7,[<Maneuver.BRAKE: 'brake'>],3.74317169189453E-05,0.0305025577545166,0.0286409854888916,0.0918467044830322,10,0.08
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.29017639160156E-05,0.0317904949188232,0.0280499458312988,0.0754661560058594,10,0.02
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'~a', '~e', 'b'}",11,7,[<Maneuver.BRAKE: 'brake'>],3.36170196533203E-05,0.0295009613037109,0.0299386978149414,0.0763454437255859,9,0.13
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'~a', '~e', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.0303378105163574,0.0261960029602051,0.0965476036071777,7,0.13
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'~a', '~e', 'b'}",11,8,[<Maneuver.BRAKE: 'brake'>],6.03199005126953E-05,0.0394301414489746,0.025554895401001,0.0792386531829834,8,0.09
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'~a', '~e', 'b'}",13,8,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0373446941375732,0.029599666595459,0.102589130401611,9,0.05
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'~a', '~e', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.40938568115234E-05,0.0319938659667969,0.0263595581054687,0.0725197792053223,7,0.2
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'~a', '~e', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,0.0295345783233643,0.02960205078125,0.0753383636474609,7,0.06
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'~a', '~e', 'b'}",13,8,[<Maneuver.BRAKE: 'brake'>],3.29017639160156E-05,0.0409295558929443,0.0295677185058594,0.107800722122192,11,0.07
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'~a', '~e', 'b'}",12,9,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.0382342338562012,0.0250134468078613,0.0764126777648926,7,0.16
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'~a', '~e', 'b'}",14,9,[<Maneuver.BRAKE: 'brake'>],3.69548797607422E-05,0.0398366451263428,0.0320725440979004,0.109995603561401,18,0.15
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~n', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.40802764892578E-05,0.0271546840667725,0.0445420742034912,0.0980772972106934,20,0.15
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~n', '~j', '~g', '~i', '~k'}",2,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",2.21729278564453E-05,0.0783331394195557,0.071927547454834,0.19380259513855,10,0.05
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~e', '~n'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.36034393310547E-05,0.0584173202514648,0.0457179546356201,0.142457962036133,10,0.05
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'a', '~e', '~h', '~g', '~c', '~i', 'n', '~j', '~o', '~d', '~b', '~f', '~k'}",7,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.46250152587891E-05,0.188599348068237,0.0687501430511475,0.283565044403076,13,0.05
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~e', '~h', '~a', '~j', 'n', '~g', '~o', '~d', '~f'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.43458557128906E-05,0.181894779205322,0.0391092300415039,0.258073091506958,10,0.02
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~d', '~j', '~e', '~f', '~n'}",9,2,[<Maneuver.BRAKE: 'brake'>],2.71797180175781E-05,0.0814056396484375,0.0491394996643066,0.150457143783569,6,1.08
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~k', 'n', '~d', '~e', '~g', '~h', '~i', '~a', '~j', '~b', '~o', '~f'}",4,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.76837158203125E-05,0.138505935668945,0.0441219806671143,0.223658800125122,10,59.48
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~e', '~n', '~f', '~j'}",12,4,[<Maneuver.BRAKE: 'brake'>],2.43186950683594E-05,0.0998232364654541,0.0336043834686279,0.151287078857422,10,2.29
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~j', '~d', '~o', '~k', 'n'}",11,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.64780426025391E-05,0.227910995483398,0.0542590618133545,0.3025221824646,21,26.42
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,bingo,"{'~e', '~n', '~f', '~j'}",10,5,[<Maneuver.BRAKE: 'brake'>],2.40802764892578E-05,0.0892245769500732,0.0358123779296875,0.142403125762939,9,1.33
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,bingo,"{'~e', '~n', '~f', '~j'}",12,5,[<Maneuver.BRAKE: 'brake'>],2.50339508056641E-05,0.0893476009368897,0.0364470481872559,0.143455266952515,8,1.07
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~e', '~f', '~j', '~n'}",11,6,[<Maneuver.BRAKE: 'brake'>],2.83718109130859E-05,0.0977487564086914,0.0355596542358398,0.150951623916626,7,0.44
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~h', '~e', '~n', '~b', '~i', '~a', '~g', '~c', '~d', '~j'}",9,8,[<Maneuver.BRAKE: 'brake'>],3.07559967041016E-05,0.077176570892334,0.0255942344665527,0.119181871414185,27,3.79
