scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,bingo,"{'b', '~a'}",14,10,2.86102294921875e-05,0.039297342300415,0.0301458835601807,0.110809564590454,0.38
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,bingo,"{'b', '~a'}",12,11,2.57492065429687e-05,0.0248832702636719,0.0276436805725098,0.0632250308990479,
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,bingo,"{'b', '~a'}",13,11,2.76565551757812e-05,0.0348103046417236,0.0267424583435059,0.0728583335876465,
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,bingo,"{'b', '~a'}",13,11,2.83718109130859e-05,0.0373108386993408,0.0236837863922119,0.0717456340789795,0.06
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,bingo,"{'b', '~a'}",14,12,2.45571136474609e-05,0.0363121032714844,0.0230374336242676,0.0689477920532227,0.25
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,bingo,"{'b', '~a'}",13,12,2.43186950683594e-05,0.0248351097106934,0.0244784355163574,0.0763568878173828,
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,bingo,"{'b', '~a'}",16,12,2.38418579101562e-05,0.0431346893310547,0.0283637046813965,0.0815396308898926,0.2
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,bingo,"{'b', '~a'}",14,13,3.79085540771484e-05,0.0236120223999023,0.028876781463623,0.0628221035003662,
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,bingo,"{'b', '~a'}",14,13,2.38418579101562e-05,0.0282261371612549,0.022907018661499,0.0597918033599854,1.99
DEU_AachenBendplatz-1_73200_T-3219,10123,R_IN1,bingo,"{'b', '~e', '~a'}",16,13,4.17232513427734e-05,0.047468900680542,0.0275707244873047,0.0841860771179199,1.25
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,bingo,"{'b', '~a'}",15,13,2.40802764892578e-05,0.0376541614532471,0.0298070907592773,0.079423189163208,1.25
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,bingo,"{'b', '~a'}",17,14,3.38554382324219e-05,0.0347700119018555,0.0261948108673096,0.0694057941436768,0.3
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,bingo,"{'b', '~a'}",17,15,2.31266021728516e-05,0.0336318016052246,0.0220892429351807,0.0627985000610352,4.34
DEU_AachenBendplatz-1_1720_T-39,10013,R_IN1,bingo,"{'b', '~a'}",16,15,2.62260437011719e-05,0.032017707824707,0.0326697826385498,0.0716094970703125,
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,bingo,"{'b', '~a'}",17,15,2.62260437011719e-05,0.0407061576843262,0.0246191024780273,0.0722312927246094,0.67
