scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.0440840721130371,0.0401771068572998,0.107521533966064,7.6
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422e-05,0.0290682315826416,0.0311923027038574,0.0820255279541016,3.29
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422e-05,0.0375168323516846,0.0593662261962891,0.151422262191772,4.18
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.0374047756195068,0.0669784545898438,0.159106731414795,16.11
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359e-05,0.0239481925964355,0.0934057235717773,0.154183864593506,8.51
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359e-05,0.0451662540435791,0.0366039276123047,0.125453233718872,6.03
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",14,13,[<Maneuver.BRAKE: 'brake'>],1.95503234863281e-05,0.0269389152526855,0.0289123058319092,0.0685253143310547,3.28
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.0215497016906738,0.0367434024810791,0.0762512683868408,4.91
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",11,10,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.12192535400391e-05,0.0436265468597412,0.0325198173522949,0.094160795211792,7.48
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",15,14,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.81198120117187e-05,0.050684928894043,0.0277726650238037,0.0898351669311523,4.33
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.24113464355469e-05,0.0346255302429199,0.0521068572998047,0.136690855026245,7.14
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,[<Maneuver.BRAKE: 'brake'>],2.12192535400391e-05,0.0203750133514404,0.067619800567627,0.120874881744385,13.81
