scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48.xml,10184,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,5.96046447753906E-06,1.35898590087891E-05,0.00134897232055664,0.000252485275268555,0.0026237964630127,0.000303745269775391,0,0.00454854965209961,1.01852440834045,
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48.xml,10184,R_IN3_hand_draft,smt,2,dpll,False,29,6,4,,0,0,0.000684022903442383,0,0,0,0,0,0.356484889984131,16.8088984489441,repair returned None
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50.xml,10066,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,inf,0,5.96046447753906E-06,1.74045562744141E-05,0.00392413139343262,0.000305414199829102,0.00172328948974609,0.000240802764892578,0,0.00621700286865234,1.26576614379883,
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50.xml,10066,R_IN3_hand_draft,smt,2,dpll,True,1,4,2,1,0,0,2.09808349609375E-05,0,0,0,0,0,0.415072202682495,23.6207022666931,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_53,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_53.xml,10131,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,6.67572021484375E-06,1.40666961669922E-05,0.00203037261962891,0.000276565551757813,0.00247049331665039,0.000582218170166016,0,0.00538039207458496,1.02585291862488,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_53,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_53.xml,10131,R_IN3_hand_draft,smt,1,dpll,True,2,6,3,1.8,0,0,4.60147857666016E-05,0,0,0,0,0,0.34946870803833,16.9704971313477,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_55,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_55.xml,10523,R_IN3_hand_draft,vp,2,domain_dpll,True,2,8,0,2.6,0,6.43730163574219E-06,5.38825988769531E-05,0.00813579559326172,0.000589132308959961,0.00101900100708008,0.00018000602722168,0,0.00998425483703613,0.981137752532959,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_55,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_55.xml,10523,R_IN3_hand_draft,smt,2,dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.890547513961792,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_56,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_56.xml,10277,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,7.15255737304688E-06,1.64508819580078E-05,0.00225186347961426,0.000257015228271484,0.00170087814331055,0.000217199325561523,0,0.00445055961608887,1.07885670661926,
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_56,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_56.xml,10277,R_IN3_hand_draft,smt,2,dpll,True,1,6,3,inf,0,0,1.78813934326172E-05,0,0,0,0,0,0.283898830413818,16.5763783454895,
