scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21.xml,10562,R_IN5,vp,2,domain_dpll,True,1,4,0,inf,7,1.6927719116210938e-05,4.673004150390625e-05,0.0040340423583984375,0.0004630088806152344,0.0005373954772949219,0.0028383731842041016,0.0006556510925292969,0.00859212875366211,6.956860780715942,
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21.xml,10562,R_IN5,smt,2,dpll,True,1,4,1,inf,0,0.0,5.316734313964844e-05,0.0,0.0,0.0,0.0,0.0,0.5770697593688965,26.343451738357544,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24.xml,10204,R_IN5,vp,2,domain_dpll,True,1,14,0,inf,7,1.8596649169921875e-05,5.412101745605469e-05,0.0035142898559570312,0.0005896091461181641,0.0004870891571044922,0.003158092498779297,0.0005788803100585938,0.008400678634643555,8.310008525848389,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24.xml,10204,R_IN5,smt,2,dpll,True,1,14,12,inf,0,0.0,2.4318695068359375e-05,0.0,0.0,0.0,0.0,0.0,0.0954444408416748,7.380682468414307,
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26.xml,10288,R_IN5,vp,2,domain_dpll,True,2,11,0,inf,7,2.6702880859375e-05,0.00013208389282226562,0.009923219680786133,0.005097150802612305,0.001432657241821289,0.0052225589752197266,0.001796722412109375,0.02363109588623047,8.922942161560059,
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26.xml,10288,R_IN5,smt,2,dpll,True,1,11,1,inf,0,0.0,3.361701965332031e-05,0.0,0.0,0.0,0.0,0.0,0.2841479778289795,6.696216583251953,
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27.xml,10331,R_IN5,vp,2,domain_dpll,True,1,14,0,inf,7,1.4781951904296875e-05,5.030632019042969e-05,0.004297494888305664,0.0004055500030517578,0.000797271728515625,0.0025424957275390625,0.0003840923309326172,0.008491992950439453,8.248418092727661,
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27.xml,10331,R_IN5,smt,2,dpll,True,1,14,13,inf,0,0.0,2.6226043701171875e-05,0.0,0.0,0.0,0.0,0.0,0.13239812850952148,6.918506622314453,
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32.xml,10562,R_IN5,vp,2,domain_dpll,True,1,4,0,inf,7,1.430511474609375e-05,4.601478576660156e-05,0.003851175308227539,0.0005621910095214844,0.0005300045013427734,0.0027403831481933594,0.0004024505615234375,0.008146524429321289,8.339865684509277,
DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_32.xml,10562,R_IN5,smt,2,dpll,True,1,4,1,inf,0,0.0,4.553794860839844e-05,0.0,0.0,0.0,0.0,0.0,0.4158620834350586,26.2628333568573,
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_34,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_34.xml,10047,R_IN5,vp,2,domain_dpll,True,1,14,0,inf,7,1.6927719116210938e-05,4.982948303222656e-05,0.0031697750091552734,0.0005261898040771484,0.0006377696990966797,0.002397298812866211,0.00033783912658691406,0.007135629653930664,7.881053924560547,
