scenario_id,ego_id,sat_solver_mode,repairer_type,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-13_56_T-1,10,domain_dpll,smt,True,1,1,0,inf,0,0.0,4.6253204345703125e-05,0.0,0.0,0.0,0.0,0.0,0.011345624923706055,0.20514488220214844,0.2946929931640625,0.5112297534942627,4.770392179489136,
DEU_LocationALower-13_82_T-1,17,domain_dpll,vp,True,1,13,0,inf,0,0.004756927490234375,7.200241088867188e-05,0.0008490085601806641,0.00096893310546875,0.0037834644317626953,0.0006325244903564453,0.0,0.0,0.0,0.0,0.011062860488891602,3.2230136394500732,
DEU_LocationALower-13_82_T-1,17,domain_dpll,smt,True,1,13,12,inf,0,0.0,7.462501525878906e-05,0.0,0.0,0.0,0.0,0.0,0.05630087852478027,0.0640866756439209,0.1018223762512207,0.22228455543518066,4.268579959869385,
DEU_LocationALower-14_14_T-1,13,domain_dpll,vp,True,1,1,0,inf,0,0.0023241043090820312,4.863739013671875e-05,0.0003974437713623047,0.0004200935363769531,0.003164052963256836,0.0005333423614501953,0.0,0.0,0.0,0.0,0.006887674331665039,3.232797384262085,
DEU_LocationALower-14_14_T-1,13,domain_dpll,smt,True,1,1,0,inf,0,0.0,6.961822509765625e-05,0.0,0.0,0.0,0.0,0.0,0.02014780044555664,0.33814454078674316,0.3062160015106201,0.6645779609680176,7.161959409713745,
DEU_LocationALower-14_161_T-1,21,domain_dpll,vp,True,1,6,0,inf,0,0.0023069381713867188,4.863739013671875e-05,0.00045490264892578125,0.00044727325439453125,0.002880096435546875,0.0003407001495361328,0.0,0.0,0.0,0.0,0.006478548049926758,3.3634231090545654,
DEU_LocationALower-14_161_T-1,21,domain_dpll,smt,True,1,6,5,inf,0,0.0,4.9591064453125e-05,0.0,0.0,0.0,0.0,0.0,0.017916440963745117,0.10302495956420898,0.1548008918762207,0.27579188346862793,4.667712688446045,
DEU_LocationALower-14_219_T-1,12,domain_dpll,vp,True,1,8,0,inf,0,0.002655029296875,7.05718994140625e-05,0.00043082237243652344,0.0004582405090332031,0.003108978271484375,0.0004265308380126953,0.0,0.0,0.0,0.0,0.007150173187255859,3.5714364051818848,
DEU_LocationALower-14_219_T-1,12,domain_dpll,smt,False,4,8,7,,0,0.0,0.0003120899200439453,0.0,0.0,0.0,0.0,0.0,0.0932619571685791,0,0,0.09357404708862305,4.471721887588501,repair returned None
DEU_LocationALower-14_247_T-1,16,domain_dpll,vp,True,1,13,0,inf,0,0.0021736621856689453,4.0531158447265625e-05,0.00039768218994140625,0.0004239082336425781,0.0025348663330078125,0.000377655029296875,0.0,0.0,0.0,0.0,0.005948305130004883,3.203550338745117,
DEU_LocationALower-14_247_T-1,16,domain_dpll,smt,True,1,13,12,inf,0,0.0,4.553794860839844e-05,0.0,0.0,0.0,0.0,0.0,0.023435592651367188,0.04636693000793457,0.1214456558227539,0.19129371643066406,6.561722755432129,
DEU_LocationALower-14_252_T-1,12,domain_dpll,vp,True,1,9,0,inf,0,0.0022530555725097656,4.7206878662109375e-05,0.00043129920959472656,0.0004565715789794922,0.0032851696014404297,0.0005328655242919922,0.0,0.0,0.0,0.0,0.007006168365478516,2.9823083877563477,
DEU_LocationALower-14_252_T-1,12,domain_dpll,smt,True,1,9,8,inf,0,0.0,4.792213439941406e-05,0.0,0.0,0.0,0.0,0.0,0.024608135223388672,0.09680318832397461,0.20998859405517578,0.3314478397369385,3.8198647499084473,
DEU_LocationALower-14_39_T-1,15,domain_dpll,vp,True,1,9,0,inf,0,0.002672433853149414,6.127357482910156e-05,0.0004525184631347656,0.00047469139099121094,0.0029790401458740234,0.000335693359375,0.0,0.0,0.0,0.0,0.006975650787353516,3.2636337280273438,
DEU_LocationALower-14_39_T-1,15,domain_dpll,smt,True,1,9,8,inf,0,0.0,4.9114227294921875e-05,0.0,0.0,0.0,0.0,0.0,0.026610612869262695,0.12265610694885254,0.16994071006774902,0.3192565441131592,4.68855357170105,
