rule_group,algorithm_variant,scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
in4,vp_acceleration,DEU_AachenBendplatz-1_163680_T-3699,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_163680_T-3699.xml,10267,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,12,0,inf,0,0.0,0.0035996437072753,0.0013487339019775,0.0004236698150634,0.0,0.0004236698150634,0.0008900165557861,0.0009143352508544,0.000434398651123,0.003326416015625,0.0002732276916503,0.0,0.0,0.0,0.0053720474243164,5.751947641372681,
in4,vp_acceleration,DEU_AachenFrankenburg-1_265260_T-5279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenFrankenburg-1_265260_T-5279.xml,10453,R_IN4,vp,1,1,dpll,False,,True,7,deceleration,7,0,9,0,inf,0,0.0,0.0039334297180175,0.0005347728729248,0.0081479549407958,0.0,0.0081479549407958,0.0015239715576171,8.344650268554688e-05,0.0004513263702392,0.0036146640777587,0.0003187656402587,0.0,0.0,0.0,0.0126161575317382,5.332786560058594,
in4,vp_acceleration,DEU_AachenBendplatz-1_152620_T-2639,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_152620_T-2639.xml,10164,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,12,0,inf,0,0.0,0.0041615962982177,0.0011899471282958,0.0004677772521972,0.0,0.0004677772521972,0.0013403892517089,0.0004985332489013,0.0006914138793945,0.0035400390625,0.0006215572357177,0.0,0.0,0.0,0.0058193206787109,5.592196702957153,
in4,vp_acceleration,DEU_AachenBendplatz-1_162280_T-2299,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_2024/DEU_AachenBendplatz-1_162280_T-2299.xml,10179,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,9,0,inf,0,0.0,0.0031800270080566,0.0009458065032958,0.0004076957702636,0.0,0.0004076957702636,0.0011777877807617,0.0004839897155761,0.0004618167877197,0.0029342174530029,0.0002458095550537,0.0,0.0,0.0,0.0045335292816162,5.770511865615845,
in4,vp_acceleration,DEU_AachenBendplatz-1_131080_T-1099,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_131080_T-1099.xml,10082,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,13,0,inf,0,0.0,0.0033624172210693,0.0015463829040527,0.0004372596740722,0.0,0.0004372596740722,0.0013930797576904,0.0012032985687255,0.0003430843353271,0.0031080245971679,0.0002543926239013,0.0,0.0,0.0,0.0053460597991943,6.178244829177856,
in4,vp_acceleration,DEU_AachenBendplatz-1_151160_T-1179,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_151160_T-1179.xml,10079,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,9,0,inf,0,0.0,0.0042464733123779,0.000913381576538,0.0004093647003173,0.0,0.0004093647003173,0.0011658668518066,0.0003547668457031,0.0005586147308349,0.0037367343902587,0.0005097389221191,0.0,0.0,0.0,0.0055692195892333,5.913655042648315,
in4,vp_acceleration,DEU_AachenBendplatz-1_151840_T-1859,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_151840_T-1859.xml,10123,R_IN4,vp,1,1,dpll,False,,True,34,acceleration,29,5,9,0,inf,0,0.0,0.0270087718963623,0.0075750350952148,0.2366280555725097,0.0,0.2366280555725097,0.0009264945983886,0.0018990039825439,0.0056760311126708,0.0224545001983642,0.004554271697998,0.0,0.0,0.0,0.2712118625640869,9.67044234275818,
in4,vp_acceleration,DEU_AachenBendplatz-1_152880_T-2899,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_152880_T-2899.xml,10190,R_IN4,vp,1,1,dpll,False,,True,22,deceleration,22,0,10,0,inf,0,0.0,0.0067644119262695,0.0015597343444824,0.0462472438812255,0.0,0.0462472438812255,0.0029592514038085,0.0001990795135498,0.0013606548309326,0.0062706470489501,0.0004937648773193,0.0,0.0,0.0,0.0545713901519775,6.504995107650757,
in4,vp_acceleration,DEU_AachenBendplatz-1_173820_T-3839,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_173820_T-3839.xml,10275,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,11,0,inf,0,0.0,0.0035123825073242,0.0013501644134521,0.0004255771636962,0.0,0.0004255771636962,0.0011765956878662,0.0010204315185546,0.0003297328948974,0.0032525062561035,0.0002598762512207,0.0,0.0,0.0,0.0052881240844726,6.044340133666992,
in4,vp_acceleration,DEU_AachenBendplatz-1_174300_T-4319,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_174300_T-4319.xml,10316,R_IN4,vp,1,1,dpll,False,,True,27,deceleration,27,0,5,0,inf,0,0.0,0.0077342987060546,0.0068023204803466,0.103572130203247,0.0,0.103572130203247,0.0028669834136962,0.005277395248413,0.0015249252319335,0.007124900817871,0.0006093978881835,0.0,0.0,0.0,0.1181087493896484,6.843724012374878,
