scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,attempted_smt_configurations,success,iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-34_53_T-1,,7,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,10,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925757884979248,5.860473155975342,repair returned None
DEU_LocationALower-34_53_T-1,,8,R_G2,vp,1,1,domain_dpll,,True,1,14,0,inf,1,3.814697265625e-05,0.006771564483642578,0.0005130767822265625,0.0002560615539550781,3.814697265625e-05,0.0002560615539550781,0.0024352073669433594,0.00011849403381347656,0.00039458274841308594,0.006165742874145508,0.0006058216094970703,0.0,0.0,0.0,0.007578849792480469,1.1666569709777832,
DEU_LocationALower-34_53_T-1,,8,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,14,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2731845378875732,6.69427227973938,repair returned None
DEU_LocationALower-34_53_T-1,,11,R_G2,vp,1,1,domain_dpll,,True,1,17,0,inf,1,3.719329833984375e-05,0.005771160125732422,0.00060272216796875,7.772445678710938e-05,3.719329833984375e-05,7.772445678710938e-05,0.0028429031372070312,9.775161743164062e-05,0.0005049705505371094,0.005476474761962891,0.00029468536376953125,0.0,0.0,0.0,0.006488800048828125,1.2068610191345215,
DEU_LocationALower-34_53_T-1,,11,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,17,3,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818768978118896,9.103947877883911,repair returned None
DEU_LocationALower-34_54_T-1,,9,R_G2,vp,1,1,domain_dpll,,True,1,3,0,inf,1,2.2649765014648438e-05,0.0032472610473632812,0.00024008750915527344,0.00015878677368164062,2.2649765014648438e-05,0.00015878677368164062,0.0012743473052978516,7.367134094238281e-05,0.00016641616821289062,0.0031099319458007812,0.0001373291015625,0.0,0.0,0.0,0.0036687850952148438,0.9561917781829834,
DEU_LocationALower-34_54_T-1,,9,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,3,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158031463623047,4.698367118835449,repair returned None
DEU_LocationALower-34_54_T-1,,11,R_G2,vp,1,1,domain_dpll,,True,1,7,0,inf,1,3.6716461181640625e-05,0.0053539276123046875,0.0005223751068115234,8.7738037109375e-05,3.6716461181640625e-05,8.7738037109375e-05,0.0026679039001464844,0.00010204315185546875,0.0004203319549560547,0.005085468292236328,0.0002684593200683594,0.0,0.0,0.0,0.0060007572174072266,1.1058177947998047,
DEU_LocationALower-34_54_T-1,,11,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,7,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225555419921875,7.531933546066284,repair returned None
DEU_LocationALower-34_62_T-1,,8,R_G2,vp,1,1,domain_dpll,,True,1,6,0,inf,1,3.7670135498046875e-05,0.015778064727783203,0.0023326873779296875,0.0001537799835205078,3.7670135498046875e-05,0.0001537799835205078,0.011272430419921875,0.0001900196075439453,0.002142667770385742,0.01520538330078125,0.0005726814270019531,0.0,0.0,0.0,0.018302202224731445,1.0695905685424805,
